"Id";"Code Barre";"Type de pièce";"Marque";"Référence constructeur";"Code absolu darty/ SDS";"Modèle ou chassis";"Etat actuel de la pièce";"Localisation";"Commentaire"
356;"0492632";"79";"3";"973914533156001";"252526";;"Non contrôlée";"Zone 2 D01";
126;"0492883";"51";"6";"DA4700138F";"0492883";"RTRB";"Neuve";"Zone 2 C02";
395;"0493729";"93";"3";"132760201/5";"NC";"NC";"Non contrôlée";"Zone 2 D07";
381;"0494373";"94";"3";"4055143137";"0494373";"NC";"Non contrôlée";"Zone 2 D01";
431;"0496168";"93";"6";"DA92-00405A";"8392417888";;"Non contrôlée";"Zone 2 D05";
105;"0499028";"94";"2";"00740282";"0252099";"GSN";"Non contrôlée";"Zone 2 A05";"Bandeau + carte commande cgref"
186;"0499601";"95";"2";"00616645";"0499601";"HB";"Contrôlée OK";"Zone 2 C05";
347;"0510162203690";"79";"3";"809108909";;"NC";"Non contrôlée";"Zone 2 D01";
481;"0517086";"81";"2";"00754869";;;"Neuve";"Zone 2 B02";"Kit ressorts + Cable de porte (X2). Prix conseillé aswo 24,54"
382;"0539641";"93";"3";"50298558003";"0539641";"NC";"Non contrôlée";"Zone 2 D01";
432;"0563767";"93";"44";"DA92-00405A";"1470932";"NC";"Non contrôlée";"Zone 2 D05";"Prix conseillé aswo 193,32"
187;"0572181";"96";"2";"00751767";"0572181";"KGN";"Contrôlée OK";"Zone 2 C05";"CG Réf module inverter embraco"
99;"059.517";"6";"20";"1110984109";"059.517";"91137101200-91137217500";"Non contrôlée";"Zone 2 C06";
188;"0602110";"80";"11";"6124006";"0602110";"GKV36020C/093";"Non contrôlée";"Zone 2 C04";
354;"0818295";"91";"3";"1360064222";;"NC";"Non contrôlée";"Zone 2 D01";
189;"09121501302600162350816";"93";"8";;;"WIND";"1";"Zone 2 C01";"Module de puissance wind"
359;"0933436";"29";"3";"3578844015";"259999";"NC";"Non contrôlée";"Zone 2 D01";
265;"098739";"46";"23";"C00098739";"0047800";"AMD 145";"Neuve";"Zone 2 C02";
49;"10021501354000172220521";"93";"8";"C00505636";"3423427";"DEA701";"Non contrôlée";"Zone 2 C01";
41;"1113310526";"91";"3";"1113310526";"001.552";"001.552";"Non contrôlée";"Zone 2 C03";
109;"118.677";"91";"3";"1366100301";"118.677";"916096918";"Non contrôlée";"Zone 2 C02";"fonctionne mais s'arrete en cours de cycle code panne F? = defaut de puissance"
369;"1202165";"96";"2";"12021657";"443312";"E606YBH20BPC";"Contrôlée OK";"Zone 2 D02";"Micro onde. Prix conseillé aswo 176,32"
111;"150.884";"29";"2";"12004793";"150.884";"HBG672BS1F/40";"Non contrôlée";"Zone 2 C02";
349;"15011601419";"79";"3";"807010439";;"NC";"Non contrôlée";"Zone 2 D01";
110;"173.986";"79";"2";"11029067";"173.986";"HBG672BS1F/40";"Non contrôlée";"Zone 2 C02";"ne chauffe pas assez"
415;"1944106";"6";"6";"DC31-00030H";"8380210836";"NC";"Neuve";"Zone 2 D07";"Pompe askoll. Prix conseillé 63,28"
190;"1952052";"11";"2";"267741";;"SGS";"Neuve";"Zone 2 C05";
271;"201116949192";"11";"27";"10397276";"4617048";"G1244 - G6998";"Non contrôlée";"Zone 2 C04";"Se monte sur chassis G1244 jusqu'au G6998"
273;"201117364421";"11";"27";"10397276";"4617048";"G1244 - G6998";"Non contrôlée";"Zone 2 C04";"Se monte sur chassis G1244 jusqu'au G6998.  Symptôme F78"
272;"201118421076";"11";"27";"10397276";"4617048";"G1244 - G6998";"Non contrôlée";"Zone 2 C04";"Se monte sur chassis G1244 jusqu'au G6998"
40;"2039068";"93";"3";"3878402035";"2039068";"AEG";"Non contrôlée";"Zone 2 C03";
364;"2103888";"90";"2";"00628444";"115813047";"NC";"Non contrôlée";"Zone 2 D02";"Prix conseillé aswm 103,99"
75;"2153517";"91";"3";"8078222315";"2153517";"91310230501-91312932505";"Non contrôlée";"Zone 2 C06";"Affiche E1"
191;"2168172";"79";"23";"C00305531";"2168172";"ARCADIA";"Neuve";"Zone 2 C07";
424;"2258151";"6";"27";"9193611";"81960162";;"Non contrôlée";"Zone 2 D05";
410;"2288991";"111";"13";"AS0033568";"3778908";"NC";"Neuve";"Zone 2 D07";
351;"2303201602969";"93";"3";"916097755";;"NC";"Non contrôlée";"Zone 2 D01";
131;"2426484230";"51";"3";"2426484230";"0573773";"HPF";"Non contrôlée";"Zone 2 C02";"Cgref  Fusible + sonde"
33;"2449248";"93";"23";"01997560011";"1471332";"ACCU93F29FR";"Non contrôlée";"Zone 2 C03";
446;"3046920047302";"79";"8";"461975308086";"1364464";"NC";"Non contrôlée";"Zone 2 D08";"EV1180. Prix conseillé aswo 204,20"
407;"3144452";"111";"40";"34421089";"5529301";;"Non contrôlée";"Zone 2 D07";"PCB Carte de puissance + carte de commande"
423;"3211037";"93";"6";"DA97-12850R";"8404341749";;"Non contrôlée";"Zone 2 D05";"Prix conseillé ASWO 124,64"
242;"3251430506168";"112";"13";"57X0059";"281658";"ETE";"Non contrôlée";"Zone 2 C08";
419;"3251431314076";"93";"13";"AS0067473";"980.526";;"Non contrôlée";"Zone 2 D07";"Chauffe trop. Relais collé. Four sauter SFP930XL"
192;"325712";"79";"11";"6113998";"3588749";"GKN23021D/093";"Non contrôlée";"Zone 2 C04";"Réf ou congel"
275;"327327";"111";"11";"6115972-01/024";;"CNEL321";"Non contrôlée";"Zone 2 C04";
248;"3307986";"94";"10";"AS0037787";"3307986";"DTI1358DG";"Non contrôlée";"Zone 2 A01";
246;"3312235";"80";"8";"481010672532";"1470969";"FSCR80421";"Non contrôlée";"Zone 2 C07";"Gamme Omnia"
101;"3331353";"94";"8";"481010759445";"3331353";"HSCX";"Non contrôlée";"Zone 2 C07";"Seche linge"
338;"3375688";"93";"3";"973914912110009";"3198363";;"Non contrôlée";"Zone 2 D01";
321;"3420822";"93";"6";"DA9200756K";"3420822";"RT5000K";"Non contrôlée";"Zone 2 B01";
74;"3423427";"93";"8";"C00505636";"3423427";"36827701400-769991563860";"Contrôlée OK";"Zone 2 C06";"OK mais pas de depart diff"
339;"3423979";"79";"3";"973913105704008";"252526";;"Non contrôlée";"Zone 2 D01";
420;"3425743";"93";"4";"EBR78533711";"17030431";;"Non contrôlée";"Zone 2 D05";
141;"3429086";"73";"40";"34421602";"3429086";"10C49A";"Neuve";"Zone 2 C02";"Mlv"
194;"3465810930539";"98";"2";"174730";"0021808";"SGS";"Neuve";"Zone 2 C05";
320;"3465810932748";"57";"8";"C00090360";"1093274";"5519100000 - 55277970100";"Non contrôlée";"Zone 2 B01";"Réf pièce entrée dans la base est la réf de remplacement. Réf des pièces dans le stock C00138945"
139;"3465811456144";"81";"8";"481240118707";"1145614";"Atlantic";"Non contrôlée";"Zone 2 C02";
97;"3465811844743";"93";"42";"41014754";"1184474";"31000893-310001013";"Non contrôlée";"Zone 2 C06";
439;"3465811979919";"93";"8";"C00254535";"1197991";"NC";"Non contrôlée";"Zone 2 D08";"Condensateur C20 HS. Prix conseillé aswo 185,48"
124;"3465813644648";"91";"8";"481010438414";"1364464";"DOMINO";"HS";"Zone 2 C02";"pas d'alim moteur"
261;"3465814306019";"93";"13";"AS0023531";"1430601";"HERAKLES";"Non contrôlée";"Zone 2 A01";
391;"3465814307351";"79";"23";"8055005962442";"1430735";"NC";"Contrôlée OK";"Zone 2 D07";"Four Merlo double cavité ok. Prix conseillé aswo 180,55"
195;"3465814716825";"79";"8";"481011085521";"2259102";"AKZ";"HS";"Zone 2 C07";"Microcontroleur flashé"
417;"3465814718614";"79";"46";"49032972";"1471861";"NC";"Non contrôlée";"Zone 2 D07";"Lave-linge top. Affiche E07 aléatoire"
346;"3465814720075";"91";"3";"8078222315";"1472007";;"Non contrôlée";"Zone 2 D01";
255;"3513745";"93";"13";"AS0062566";"4380936";"SOP5762X";"Non contrôlée";"Zone 2 A01";
300;"4055070744";"20";"3";"4055070744";;"91310220100 - 91321756000";"Non contrôlée";"Zone 2 A02";"Utilisée. A contrôler"
92;"421228";"6";"4";"5859EN1006M";;;"Neuve";"Zone 2 C06";
50;"424538";"93";"3";"140028861";;"OVC5000";"Non contrôlée";"Zone 2 C03";
72;"427007";"94";"8";"C00634005";;"NC";"Non contrôlée";"Zone 2 C01";
443;"429380";"93";"33";"#G466985";;"NC";"Non contrôlée";"Zone 2 D08";"Prix conseillé aswo 41,68"
107;"431882";"111";"45";"308080411";;"GRUPPO313006";"Non contrôlée";"Zone 2 C06";"Hôte : 2 pieces 1 defectueuse commande rangée avec"
106;"433594";"46";"33";;;"NC";"Non contrôlée";"Zone 2 A06";
102;"437603";"26";"6";"DE96-00822A";;"SN-ESMA";"Non contrôlée";"Zone 2 C06";"Carte filtre"
307;"462641";"46";"33";"K1607745";;;"Non contrôlée";"Zone 2 A02";"Sonde partie réf"
299;"474091";"20";"3";"4071430963";;"91320721101 - 91321561100";"Non contrôlée";"Zone 2 A02";
305;"474406";"93";"41";"DQ11Y-005-HM";;"CVD102DZ";"Non contrôlée";"Zone 2 A02";"Cave La sommelière"
295;"475229";"80";"2";"11039384";"475229";"KI1812SF0/01 - KI18SF0G/02";"Non contrôlée";"Zone 2 A02";
304;"478916";"111";"18";"816292759";;;"Contrôlée OK";"Zone 2 A02";"Manque un segment mais ok"
47;"48122147933";"93";"8";"3928306262";"0205587";"AW8000";"HS";"Zone 2 C03";"HS F08"
294;"484369%3875729133";"80";"3";"387572913/3";"484369";"94973872600 - 94973875400";"Contrôlée OK";"Zone 2 A02";"Fonctionne mais un segment est flou"
379;"48976";"94";"2";"489765";"NC";"NC";"Non contrôlée";"Zone 2 D02";"Ne pas jeter Stéphane"
137;"4901ER2003A";"21";"4";"4901ER2003A";"0344668";"F14";"Neuve";"Zone 2 C02";
82;"4902951";"79";"42";"49029516";;"33700956-33700959";"Non contrôlée";"Zone 2 C06";
296;"5020852531";"93";"4";"EBR83736026";;;"Neuve";"Zone 2 A02";
448;"506487986000000100000001";"121";"47";"23567866";"NC";"NC";"Neuve";"Zone 2 D08";"Prix conseillé aswo 164,62"
450;"506768660400000200000001";"20";"8";"C00314732";;;"Neuve";"Zone 2 D08";"Prix conseillé aswo 10,51"
451;"506768660400000300000001";"20";"8";"C00315000";;;"Neuve";"Zone 2 D08";"Prix conseillé aswo 22,18"
398;"506777137800000400000001";"26";"27";"5682871";"NC";"NC";"Contrôlée OK";"Zone 2 D07";"Filtre banane, ok à nettoyer"
397;"506777137800000400000002";"26";"27";"5682871";"NC";"NC";"Contrôlée OK";"Zone 2 D07";"Filtre banane, ok à nettoyer"
463;"506802768602000300000001";"93";"13";"AS0022596";;;"Neuve";"Zone 2 B03";"Prix conseillé aswo 139,81"
53;"542114805822";"93";"3";"132761512";;"NC";"Non contrôlée";"Zone 2 C03";"Auto off ou carte d'affichage ?"
274;"611597201";"111";"11";"6115972-01/024";;"CNEL321";"Non contrôlée";"Zone 2 C04";
146;"623123403831";"109";"3";"132787300";;;"Non contrôlée";"Zone 2 C08";
350;"636121303591";"79";"3";"913217028";;;"Non contrôlée";"Zone 2 D01";
393;"8015250393712";"94";"8";"481010669406";"NC";"NC";"Non contrôlée";"Zone 2 D07";"Prix conseillé aswo 152,75"
453;"8015250739923";"94";"8";"C00525308";;;"Non contrôlée";"Zone 2 D02";"TCI SMC604FNE s'éteint pendant la cuisson. Module de puissance droit + clavier dans même caisse. Prix conseillé aswo 191,22"
452;"8015250859836";"93";"8";"C00505841";;"NC";"Non contrôlée";"Zone 2 D02";"TCI SMC604FNE s'éteint pendant la cuisson. Module de puissance droit + clavier dans même caisse. Prix conseillé aswo 198,30"
60;"8015250916768";"93";"8";"C00629611";"979.928";"NC";"Non contrôlée";"Zone 2 C01";
317;"8055005565469";"28";"8";"C00256546";"0355527";"3659015000 - 769991644450";"HS";"Zone 2 B01";
297;"8055005925225";"111";"8";"C00292522";"023.155";"34938940100 - 81883049087";"Non contrôlée";"Zone 2 A02";
409;"8058331024891";"12";"8";"C00302489";"0302489";"NC";"Neuve";"Zone 2 D07";"Bloc de chauffe + joint. Prix conseillé aswo 63,55"
51;"8058331822916";"93";"8";"C00382291";"3429163";"NC";"Non contrôlée";"Zone 2 C03";"Cgref indesit"
78;"857500118050";"94";"8";;;;"Non contrôlée";"Zone 2 A06";
358;"973914533156001";"79";"3";"973911539073008";;;"Non contrôlée";"Zone 2 D01";"2 cartes dans le carton"
412;"9782100794355";"79";"3";"97391311632001";"NC";"EWX136";"Non contrôlée";"Zone 2 D07";"Défaut relais moteur en mémoire suite débordement lessive"
361;"A00040633A";"91";"3";"140000406334";"259999";"NC";"Non contrôlée";"Zone 2 D01";"NEUVE, pièce démontée dans le carton"
149;"ààà""-&à""&'";"83";"3";;;"GV640";;"Zone 2 A05";"Interrupteur impulsion"
61;"C00505636";"93";"23";"C00505636";"3423427";"DEA701";"Non contrôlée";"Zone 2 C01";
378;"DC92-01783G";"93";"6";"DC92-01783G";"NC";"NC";"Non contrôlée";"Zone 2 D02";"Prix conseillé aswo 160,15"
268;"G2581752 01";"94";"4";"EBR32302002";"5166852";"F14";"Non contrôlée";"Zone 2 C02";
112;"HC 123";"83";"6";"DG9402595A";"4616337";;"Non contrôlée";"Zone 2 C02";
